CNN,SURVEY_SOURCE,PRIMARY_STREET,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
6184000,SFDPH,GILMAN AVE,DONAHUE ST \ HUNTERS POINT EXPY,EARL ST,,,NB,3,1/5/10,TUESDAY,5,1,2010,,SFMTA IN-HOUSE NEW,,,,49,30,,,,,,,,,
6184000,SFDPH,GILMAN AVE,DONAHUE ST \ HUNTERS POINT EXPY,EARL ST,,,SB,3,1/5/10,TUESDAY,5,1,2010,,SFMTA IN-HOUSE NEW,,,,44,25,,,,,,,,,
7096000,SFDPH,HUNTERS POINT EXPY,DONAHUE ST \ GILMAN AVE,CANDLESTICK POINT SRA,,,NB,5,1/14/10,THURSDAY,14,1,2010,,SFMTA IN-HOUSE NEW,,,,47,27,,,,,,,,,
7096000,SFDPH,HUNTERS POINT EXPY,DONAHUE ST \ GILMAN AVE,CANDLESTICK POINT SRA,,,SB,5,1/14/10,THURSDAY,14,1,2010,,SFMTA IN-HOUSE NEW,,,,40,23,,,,,,,,,
3693203,SFDPH,CARGO WAY,AMADOR ST,03RD ST \ ARTHUR AVE,,,WB,4,2/17/10,WEDNESDAY,17,2,2010,,SFMTA IN-HOUSE NEW,,,,40,24,,,,,,,,,
3693203,SFDPH,CARGO WAY,AMADOR ST,03RD ST \ ARTHUR AVE,,,EB,4,2/17/10,WEDNESDAY,17,2,2010,,SFMTA IN-HOUSE NEW,,,,44,24,,,,,,,,,
19983000,SFDPH,04TH ST,MISSION ROCK ST,CHINA BASIN ST,,,SB,4,6/16/10,WEDNESDAY,16,6,2010,,SFMTA IN-HOUSE NEW,,,,31,20,,,,,,,,,
19983000,SFDPH,04TH ST,MISSION ROCK ST,CHINA BASIN ST,,,NB,4,6/16/10,WEDNESDAY,16,6,2010,,SFMTA IN-HOUSE NEW,,,,30,20,,,,,,,,,
8773201,SFDPH,MARKET ST,HATTIE ST,MERRITT ST,,,EB,3,5/10/11,TUESDAY,10,5,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,36,26,,,,,,,,,
8773201,SFDPH,MARKET ST,HATTIE ST,MERRITT ST,,,WB,3,5/10/11,TUESDAY,10,5,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
7254000,SFDPH,INNES AVE,ARELIOUS WALKER DR,GRIFFITH ST,,,WB,3,6/21/11,TUESDAY,21,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,25,,,,,,,,,
7254000,SFDPH,INNES AVE,ARELIOUS WALKER DR,GRIFFITH ST,,,EB,3,6/21/11,TUESDAY,21,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,25,,,,,,,,,
5904000,SFDPH,FULTON ST,STANYAN ST,PARSONS ST,,,EB,5,6/30/11,THURSDAY,30,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,28,,,,,,,,,
5905000,SFDPH,FULTON ST,PARSONS ST,WILLARD ST,,,EB,5,6/30/11,THURSDAY,30,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,28,,,,,,,,,
5906000,SFDPH,FULTON ST,WILLARD ST,ARGUELLO BLVD,,,EB,5,6/30/11,THURSDAY,30,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,28,,,,,,,,,
5904000,SFDPH,FULTON ST,STANYAN ST,PARSONS ST,,,WB,5,6/30/11,THURSDAY,30,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
5905000,SFDPH,FULTON ST,PARSONS ST,WILLARD ST,,,WB,5,6/30/11,THURSDAY,30,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
5906000,SFDPH,FULTON ST,WILLARD ST,ARGUELLO BLVD,,,WB,5,6/30/11,THURSDAY,30,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
8673201,SFDPH,MANSELL ST,JOHN F SHELLEY DR,JOHN F SHELLEY DR,,,WB,3,12/13/11,TUESDAY,13,12,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,44,24,,,,,,,,,
8673201,SFDPH,MANSELL ST,JOHN F SHELLEY DR,JOHN F SHELLEY DR,,,EB,3,12/13/11,TUESDAY,13,12,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,48,34,,,,,,,,,
5855000,SFDPH,FREDERICK ST,WILLARD ST,ARGUELLO BLVD \ LINCOLN WAY,,,EB,4,1/4/12,WEDNESDAY,4,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,26,,,,,,,,,
5855000,SFDPH,FREDERICK ST,WILLARD ST,ARGUELLO BLVD \ LINCOLN WAY,,,WB,4,1/4/12,WEDNESDAY,4,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,26,,,,,,,,,
9689000,SFDPH,NORTH POINT ST,POWELL ST,MASON ST,,,WB,4,1/4/12,WEDNESDAY,4,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,24,,,,,,,,,
9689000,SFDPH,NORTH POINT ST,POWELL ST,MASON ST,,,EB,4,1/4/12,WEDNESDAY,4,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,22,,,,,,,,,
9695000,SFDPH,NORTH POINT ST,HYDE ST,LARKIN ST,,,WB,4,1/4/12,WEDNESDAY,4,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,26,19,,,,,,,,,
9695000,SFDPH,NORTH POINT ST,HYDE ST,LARKIN ST,,,EB,4,1/4/12,WEDNESDAY,4,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,26,19,,,,,,,,,
457000,SFDPH,09TH ST,HARRISON ST,MCLEA CT,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,23,,,,,,,,,
458000,SFDPH,09TH ST,MCLEA CT,BRYANT ST \ HWY 101 N OFF RAMP,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,23,,,,,,,,,
448000,SFDPH,09TH ST,MISSION ST,MINNA ST,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
449000,SFDPH,09TH ST,MINNA ST,NATOMA ST,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
450000,SFDPH,09TH ST,NATOMA ST,HOWARD ST,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
21583000,SFDPH,SICKLES AVE,SICKLES AVE,,,,WB,4,1/11/12,WEDNESDAY,11,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
21583000,SFDPH,SICKLES AVE,SICKLES AVE,,,,EB,4,1/11/12,WEDNESDAY,11,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
12665000,SFDPH,TOWNSEND ST,06TH ST,07TH ST,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,34,25,,,,,,,,,
12665000,SFDPH,TOWNSEND ST,06TH ST,07TH ST,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,25,,,,,,,,,
12656000,SFDPH,TOWNSEND ST,02ND ST,STANFORD ST,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
12657000,SFDPH,TOWNSEND ST,STANFORD ST,CLARENCE PL,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
12658000,SFDPH,TOWNSEND ST,CLARENCE PL,03RD ST,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
12656000,SFDPH,TOWNSEND ST,02ND ST,STANFORD ST,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,21,,,,,,,,,
12657000,SFDPH,TOWNSEND ST,STANFORD ST,CLARENCE PL,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,21,,,,,,,,,
12658000,SFDPH,TOWNSEND ST,CLARENCE PL,03RD ST,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,21,,,,,,,,,
3080000,SFDPH,BRANNAN ST,04TH ST,05TH ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
3088000,SFDPH,BRANNAN ST,07TH ST,08TH ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,26,,,,,,,,,
3080000,SFDPH,BRANNAN ST,04TH ST,05TH ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,34,24,,,,,,,,,
3072000,SFDPH,BRANNAN ST,DELANCEY ST,COLIN P KELLY JR ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,24,,,,,,,,,
3073000,SFDPH,BRANNAN ST,COLIN P KELLY JR ST,02ND ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,24,,,,,,,,,
3088000,SFDPH,BRANNAN ST,07TH ST,08TH ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
3072000,SFDPH,BRANNAN ST,DELANCEY ST,COLIN P KELLY JR ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
3073000,SFDPH,BRANNAN ST,COLIN P KELLY JR ST,02ND ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
179000,SFDPH,03RD ST,BRANNAN ST,TOWNSEND ST,,,NB,3,1/24/12,TUESDAY,24,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,22,,,,,,,,,
169000,SFDPH,03RD ST,CLEMENTINA ST,FOLSOM ST,,,NB,3,1/24/12,TUESDAY,24,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,22,,,,,,,,,
168000,SFDPH,03RD ST,HOWARD ST,CLEMENTINA ST,,,NB,3,1/24/12,TUESDAY,24,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,22,,,,,,,,,
13689000,SFDPH,WINSTON DR,BUCKINGHAM WAY,LAKE MERCED BLVD,,,WB,5,1/26/12,THURSDAY,26,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,25,,,,,,,,,
13689000,SFDPH,WINSTON DR,BUCKINGHAM WAY,LAKE MERCED BLVD,,,EB,5,1/26/12,THURSDAY,26,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,37,19,,,,,,,,,
7827201,SFDPH,KEZAR DR,WALLER ST,MARTIN LUTHER KING JR DR,,,EB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,36,25,,,,,,,,,
7827201,SFDPH,KEZAR DR,WALLER ST,MARTIN LUTHER KING JR DR,,,WB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,37,20,,,,,,,,,
9286101,SFDPH,MONTEREY BLVD,EL VERANO WAY \ NORTHGATE DR \ SAN FELIPE AVE,WESTGATE DR,,,WB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,29,,,,,,,,,
9286101,SFDPH,MONTEREY BLVD,EL VERANO WAY \ NORTHGATE DR \ SAN FELIPE AVE,WESTGATE DR,,,EB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
141000,SFDPH,02ND ST,STILLMAN ST,BRYANT ST,,,NB,3,5/15/12,TUESDAY,15,5,2012,,SFMTA IN-HOUSE NEW,,,,30,20,,,,,,,,,
141000,SFDPH,02ND ST,STILLMAN ST,BRYANT ST,,,NB,4,5/16/12,WEDNESDAY,16,5,2012,,SFMTA IN-HOUSE NEW,,,,30,21,,,,,,,,,
4217000,SFDPH,CLIPPER ST,DOUGLASS ST,CLIPPER TER \ GRAND VIEW AVE,,,WB,3,7/10/12,TUESDAY,10,7,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,36,26,,,,,,,,,
4217000,SFDPH,CLIPPER ST,DOUGLASS ST,CLIPPER TER \ GRAND VIEW AVE,,,EB,3,7/10/12,TUESDAY,10,7,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,43,23,,,,,,,,,
22156000,SFDPH,MONTEREY BLVD,MONTEREY BLVD,,,,EB,5,8/23/12,THURSDAY,23,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
22156000,SFDPH,MONTEREY BLVD,MONTEREY BLVD,,,,WB,5,8/23/12,THURSDAY,23,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,26,,,,,,,,,
4886201,SFDPH,DOLORES ST,28TH ST,VALLEY ST,,,NB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,27,,,,,,,,,
4875201,SFDPH,DOLORES ST,21ST ST,22ND ST,,,SB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,27,,,,,,,,,
4875101,SFDPH,DOLORES ST,21ST ST,22ND ST,,,NB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
4886101,SFDPH,DOLORES ST,28TH ST,VALLEY ST,,,SB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,26,,,,,,,,,
22645000,SFDPH,MONTEREY BLVD,VALDEZ AVE,,,,EB,5,9/20/12,THURSDAY,20,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
22645000,SFDPH,MONTEREY BLVD,VALDEZ AVE,,,,WB,5,9/20/12,THURSDAY,20,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,27,,,,,,,,,
4871201,SFDPH,DOLORES ST,19TH ST,CUMBERLAND ST,,,NB,5,9/27/12,THURSDAY,27,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,26,,,,,,,,,
4871101,SFDPH,DOLORES ST,19TH ST,CUMBERLAND ST,,,SB,5,9/27/12,THURSDAY,27,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,25,,,,,,,,,
3560000,SFDPH,CALIFORNIA ST,PIERCE ST,SCOTT ST,,,EB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,28,,,,,,,,,
3564000,SFDPH,CALIFORNIA ST,BAKER ST,LYON ST,,,WB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,28,,,,,,,,,
3560000,SFDPH,CALIFORNIA ST,PIERCE ST,SCOTT ST,,,WB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3564000,SFDPH,CALIFORNIA ST,BAKER ST,LYON ST,,,EB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
3568000,SFDPH,CALIFORNIA ST,LAUREL ST,LOCUST ST,,,EB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,26,,,,,,,,,
3568000,SFDPH,CALIFORNIA ST,LAUREL ST,LOCUST ST,,,WB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
7989101,SFDPH,LAGUNA HONDA BLVD,CLARENDON AVE,PLAZA ST,,,NB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,22,,,,,,,,,
7989201,SFDPH,LAGUNA HONDA BLVD,CLARENDON AVE,PLAZA ST,,,SB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,40,21,,,,,,,,,
3578000,SFDPH,CALIFORNIA ST,02ND AVE,03RD AVE,,,EB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3578000,SFDPH,CALIFORNIA ST,02ND AVE,03RD AVE,,,WB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3597000,SFDPH,CALIFORNIA ST,20TH AVE,21ST AVE,,,EB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
3597000,SFDPH,CALIFORNIA ST,20TH AVE,21ST AVE,,,WB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,26,,,,,,,,,
12276201,SFDPH,SUNSET BLVD,JUDAH ST,KIRKHAM ST,,,NB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,23,,,,,,,,,
12277201,SFDPH,SUNSET BLVD,KIRKHAM ST,LAWTON ST,,,NB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,23,,,,,,,,,
12286101,SFDPH,SUNSET BLVD,TARAVAL ST,ULLOA ST,,,NB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,21,,,,,,,,,
12286201,SFDPH,SUNSET BLVD,TARAVAL ST,ULLOA ST,,,SB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,20,,,,,,,,,
12276101,SFDPH,SUNSET BLVD,JUDAH ST,KIRKHAM ST,,,SB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,19,,,,,,,,,
12277101,SFDPH,SUNSET BLVD,KIRKHAM ST,LAWTON ST,,,SB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,19,,,,,,,,,
360000,SFDPH,07TH AVE,IRVING ST,JUDAH ST,,,SB,3,3/12/13,TUESDAY,12,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,27,,,,,,,,,
1373000,SFDPH,25TH AVE,LAKE ST,CALIFORNIA ST,,,SB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,28,,,,,,,,,
1377000,SFDPH,25TH AVE,ANZA ST,BALBOA ST,,,NB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,27,,,,,,,,,
1377000,SFDPH,25TH AVE,ANZA ST,BALBOA ST,,,SB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
1373000,SFDPH,25TH AVE,LAKE ST,CALIFORNIA ST,,,NB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,25,,,,,,,,,
8044000,SFDPH,LAKE MERCED BLVD,BERKSHIRE WAY \ LAKESHORE DR,SUNSET BLVD,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,25,,,,,,,,,
8046101,SFDPH,LAKE MERCED BLVD,CLEARFIELD DR,MIDDLEFIELD DR,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,22,,,,,,,,,
8044000,SFDPH,LAKE MERCED BLVD,BERKSHIRE WAY \ LAKESHORE DR,SUNSET BLVD,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,21,,,,,,,,,
8046201,SFDPH,LAKE MERCED BLVD,CLEARFIELD DR,MIDDLEFIELD DR,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,19,,,,,,,,,
8043000,SFDPH,LAKE MERCED BLVD,SKYLINE BLVD,BERKSHIRE WAY \ LAKESHORE DR,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,25,,,,,,,,,
8043000,SFDPH,LAKE MERCED BLVD,SKYLINE BLVD,BERKSHIRE WAY \ LAKESHORE DR,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,21,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA IN-HOUSE NEW,,,,30,18,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA IN-HOUSE NEW,,,,28,17,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,WB,4,3/20/13,WEDNESDAY,20,3,2013,,SFMTA IN-HOUSE NEW,,,,30,19,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,EB,4,3/20/13,WEDNESDAY,20,3,2013,,SFMTA IN-HOUSE NEW,,,,28,16,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,EB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,39,23,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,WB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,43,23,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,WB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,30,20,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,EB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,28,16,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,WB,6,3/22/13,FRIDAY,22,3,2013,,SFMTA IN-HOUSE NEW,,,,43,22,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,EB,6,3/22/13,FRIDAY,22,3,2013,,SFMTA IN-HOUSE NEW,,,,39,22,,,,,,,,,
3025202,SFDPH,BOSWORTH ST,LYELL ST,ARLINGTON ST \ I-280 S ON RAMP,,,WB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3026101,SFDPH,BOSWORTH ST,ARLINGTON ST \ I-280 S ON RAMP,DIAMOND ST,,,WB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3025202,SFDPH,BOSWORTH ST,LYELL ST,ARLINGTON ST \ I-280 S ON RAMP,,,EB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3026101,SFDPH,BOSWORTH ST,ARLINGTON ST \ I-280 S ON RAMP,DIAMOND ST,,,EB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
6148203,SFDPH,GENEVA AVE,LINDA VISTA STPS,STONERIDGE LN,,,EB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,43,26,,,,,,,,,
6148201,SFDPH,GENEVA AVE,PRAGUE ST,LINDA VISTA STPS,,,EB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,43,26,,,,,,,,,
6148203,SFDPH,GENEVA AVE,LINDA VISTA STPS,STONERIDGE LN,,,WB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,22,,,,,,,,,
6148201,SFDPH,GENEVA AVE,PRAGUE ST,LINDA VISTA STPS,,,WB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,22,,,,,,,,,
6151201,SFDPH,GENEVA AVE,CIELITO DR,ESQUINA DR,,,WB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,40,22,,,,,,,,,
6151101,SFDPH,GENEVA AVE,CIELITO DR,ESQUINA DR,,,EB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,40,21,,,,,,,,,
10662000,SFDPH,POTRERO AVE,17TH ST,MARIPOSA ST,,,NB,4,4/17/13,WEDNESDAY,17,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,28,,,,,,,,,
10662000,SFDPH,POTRERO AVE,17TH ST,MARIPOSA ST,,,SB,4,4/17/13,WEDNESDAY,17,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,34,26,,,,,,,,,
10669201,SFDPH,POTRERO AVE,22ND ST,23RD ST,,,NB,4,5/1/13,WEDNESDAY,1,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,34,27,,,,,,,,,
10669101,SFDPH,POTRERO AVE,22ND ST,23RD ST,,,SB,4,5/1/13,WEDNESDAY,1,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
28079000,SFDPH,STANYAN BLVD,STANYAN BLVD,,,,SB,4,5/15/13,WEDNESDAY,15,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,26,,,,,,,,,
28079000,SFDPH,STANYAN BLVD,STANYAN BLVD,,,,NB,4,5/15/13,WEDNESDAY,15,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,26,,,,,,,,,
26428000,SFDPH,STANYAN ST,STANYAN ST,,,,SB,4,5/15/13,WEDNESDAY,15,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,26,,,,,,,,,
26428000,SFDPH,STANYAN ST,STANYAN ST,,,,NB,4,5/15/13,WEDNESDAY,15,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,25,,,,,,,,,
22095000,SFDPH,GENEVA AVE,GENEVA AVE,,,,WB,5,5/23/13,THURSDAY,23,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,27,,,,,,,,,
22095000,SFDPH,GENEVA AVE,GENEVA AVE,,,,EB,5,5/23/13,THURSDAY,23,5,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,26,,,,,,,,,
